label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"27,732",,,,,,,,,,,,
Under 5 Years,"2,194",,,,,,,,,,,,
5 to 9 Years,"1,581",,,,,,,,,,,,
10 to 14 Years,"1,206",,,,,,,,,,,,
15 to 17 Years,541,,,,,,,,,,,,
18 to 24 Years,"2,507",,,,,,,,,,,,
25 to 34 Years,"6,991",,,,,,,,,,,,
35 to 44 Years,"3,537",,,,,,,,,,,,
45 to 54 Years,"3,684",,,,,,,,,,,,
55 to 64 Years,"2,901",,,,,,,,,,,,
65 to 74 Years,"1,664",,,,,,,,,,,,
75 to 84 Years,660,,,,,,,,,,,,
85 Years and Over,266,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"27,732",,,,,,,,,,,,
White Alone,"12,851",,,,,,,,,,,,
Black or African American Alone,"13,689",,,,,,,,,,,,
American Indian and Alaska Native Alone,24,,,,,,,,,,,,
Asian Alone,371,,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,7,,,,,,,,,,,,
Some Other Race Alone,182,,,,,,,,,,,,
Two or More Races,608,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"19,703",,,,,,,,,,,,
Less than High School,"1,388",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"3,805",,,,,,,,,,,,
Some College,"5,706",,,,,,,,,,,,
Bachelor's Degree,"4,763",,,,,,,,,,,,
Master's Degree,"2,605",,,,,,,,,,,,
Professional School Degree,806,,,,,,,,,,,,
Doctorate Degree,630,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"5,400",,,,,,,,,,,,
Living in Poverty,"1,569",,,,,,,,,,,,
At or Above Poverty Level,"3,831",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"19,526",,,,,,,,,,,,
Living in Poverty,"3,289",,,,,,,,,,,,
At or Above Poverty Level,"16,237",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"2,517",,,,,,,,,,,,
Living in Poverty,467,,,,,,,,,,,,
At or Above Poverty Level,"2,050",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
