label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"40,670",,,,,,,,,,,,
Under 5 Years,"1,495",,,,,,,,,,,,
5 to 9 Years,745,,,,,,,,,,,,
10 to 14 Years,"1,217",,,,,,,,,,,,
15 to 17 Years,687,,,,,,,,,,,,
18 to 24 Years,"7,811",,,,,,,,,,,,
25 to 34 Years,"9,751",,,,,,,,,,,,
35 to 44 Years,"4,482",,,,,,,,,,,,
45 to 54 Years,"3,549",,,,,,,,,,,,
55 to 64 Years,"4,749",,,,,,,,,,,,
65 to 74 Years,"3,810",,,,,,,,,,,,
75 to 84 Years,"1,607",,,,,,,,,,,,
85 Years and Over,767,,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"40,670",,,,,,,,,,,,
White Alone,"22,128",,,,,,,,,,,,
Black or African American Alone,"13,288",,,,,,,,,,,,
American Indian and Alaska Native Alone,81,,,,,,,,,,,,
Asian Alone,"3,827",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,0,,,,,,,,,,,,
Some Other Race Alone,267,,,,,,,,,,,,
Two or More Races,"1,079",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"28,715",,,,,,,,,,,,
Less than High School,"2,198",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"4,157",,,,,,,,,,,,
Some College,"5,514",,,,,,,,,,,,
Bachelor's Degree,"7,007",,,,,,,,,,,,
Master's Degree,"5,131",,,,,,,,,,,,
Professional School Degree,"2,619",,,,,,,,,,,,
Doctorate Degree,"2,089",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"4,057",,,,,,,,,,,,
Living in Poverty,844,,,,,,,,,,,,
At or Above Poverty Level,"3,213",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"26,489",,,,,,,,,,,,
Living in Poverty,"6,023",,,,,,,,,,,,
At or Above Poverty Level,"20,466",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"5,852",,,,,,,,,,,,
Living in Poverty,"1,023",,,,,,,,,,,,
At or Above Poverty Level,"4,829",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
