label,value,,,,,,,,,,,,
SE:A01001. Age,,,,,,,,,,,,,
Total Population:,"87,160",,,,,,,,,,,,
Under 5 Years,"5,596",,,,,,,,,,,,
5 to 9 Years,"4,173",,,,,,,,,,,,
10 to 14 Years,"4,879",,,,,,,,,,,,
15 to 17 Years,"2,269",,,,,,,,,,,,
18 to 24 Years,"5,477",,,,,,,,,,,,
25 to 34 Years,"16,242",,,,,,,,,,,,
35 to 44 Years,"13,222",,,,,,,,,,,,
45 to 54 Years,"10,901",,,,,,,,,,,,
55 to 64 Years,"12,745",,,,,,,,,,,,
65 to 74 Years,"7,050",,,,,,,,,,,,
75 to 84 Years,"3,187",,,,,,,,,,,,
85 Years and Over,"1,419",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A03001. Race,,,,,,,,,,,,,
Total Population:,"87,160",,,,,,,,,,,,
White Alone,"63,663",,,,,,,,,,,,
Black or African American Alone,"17,606",,,,,,,,,,,,
American Indian and Alaska Native Alone,189,,,,,,,,,,,,
Asian Alone,"2,148",,,,,,,,,,,,
Native Hawaiian and Other Pacific Islander Alone,129,,,,,,,,,,,,
Some Other Race Alone,"1,254",,,,,,,,,,,,
Two or More Races,"2,171",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A12001. Educational Attainment for Population 25 Years and Over,,,,,,,,,,,,,
Population 25 Years and Over:,"64,766",,,,,,,,,,,,
Less than High School,"6,160",,,,,,,,,,,,
High School Graduate (Includes Equivalency),"16,249",,,,,,,,,,,,
Some College,"17,990",,,,,,,,,,,,
Bachelor's Degree,"14,791",,,,,,,,,,,,
Master's Degree,"7,158",,,,,,,,,,,,
Professional School Degree,"1,415",,,,,,,,,,,,
Doctorate Degree,"1,003",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003A. Poverty Status in 2019 for Children Under 18,,,,,,,,,,,,,
Population Under 18 Years of Age for Whom Poverty Status Is Determined:,"16,778",,,,,,,,,,,,
Living in Poverty,"4,173",,,,,,,,,,,,
At or Above Poverty Level,"12,605",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003B. Poverty Status in 2019 for Population Age 18 to 64,,,,,,,,,,,,,
Population Age 18 to 64 for Whom Poverty Status  Is Determined:,"58,484",,,,,,,,,,,,
Living in Poverty,"7,951",,,,,,,,,,,,
At or Above Poverty Level,"50,533",,,,,,,,,,,,
,,,,,,,,,,,,,
SE:A13003C. Poverty Status in 2019 for Population Age 65 and Over,,,,,,,,,,,,,
Population Age 65 and Over for Whom Poverty  Status Is Determined:,"11,365",,,,,,,,,,,,
Living in Poverty,"1,207",,,,,,,,,,,,
At or Above Poverty Level,"10,158",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,
"For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'",,,,,,,,,,,,,
© Social Explorer 2005-2022,,,,,,,,,,,,,
