"GEO_ID","C08301_001E","C08301_001M","C08301_002E","C08301_002M","C08301_003E","C08301_003M","C08301_004E","C08301_004M","C08301_005E","C08301_005M","C08301_006E","C08301_006M","C08301_007E","C08301_007M","C08301_008E","C08301_008M","C08301_009E","C08301_009M","C08301_010E","C08301_010M","C08301_011E","C08301_011M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Geographic Area Name"
"0500000US29510","141354","4610","110363","4927","99141","4461","11222","2119","9086","1719","1041","417","1095","592","15592","2334","7830","1828","2944","825","4625","1123","St. Louis city, Missouri"
