"C08301_001E","C08301_001M","C08301_002E","C08301_002M","C08301_003E","C08301_003M","C08301_004E","C08301_004M","C08301_005E","C08301_005M","C08301_006E","C08301_006M","C08301_007E","C08301_007M","C08301_008E","C08301_008M","C08301_009E","C08301_009M","C08301_010E","C08301_010M","C08301_011E","C08301_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab)","Margin of Error!!Total:!!Public transportation (excluding taxicab)","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"152652","3444","127890","4266","116251","4054","11639","2035","9611","1784","1362","812","666","798","9031","1632","6800","1336","3039","840","5892","1214","0500000US29510","St. Louis city, Missouri"
