"GEO_ID","NAME","S2001_C01_001E","S2001_C01_001M","S2001_C01_002E","S2001_C01_002M","S2001_C01_003E","S2001_C01_003M","S2001_C01_004E","S2001_C01_004M","S2001_C01_005E","S2001_C01_005M","S2001_C01_006E","S2001_C01_006M","S2001_C01_007E","S2001_C01_007M","S2001_C01_008E","S2001_C01_008M","S2001_C01_009E","S2001_C01_009M","S2001_C01_010E","S2001_C01_010M","S2001_C01_011E","S2001_C01_011M","S2001_C01_012E","S2001_C01_012M","S2001_C01_013E","S2001_C01_013M","S2001_C01_014E","S2001_C01_014M","S2001_C01_015E","S2001_C01_015M","S2001_C01_016E","S2001_C01_016M","S2001_C01_017E","S2001_C01_017M","S2001_C01_018E","S2001_C01_018M","S2001_C01_019E","S2001_C01_019M","S2001_C01_020E","S2001_C01_020M","S2001_C01_021E","S2001_C01_021M","S2001_C02_001E","S2001_C02_001M","S2001_C02_002E","S2001_C02_002M","S2001_C02_003E","S2001_C02_003M","S2001_C02_004E","S2001_C02_004M","S2001_C02_005E","S2001_C02_005M","S2001_C02_006E","S2001_C02_006M","S2001_C02_007E","S2001_C02_007M","S2001_C02_008E","S2001_C02_008M","S2001_C02_009E","S2001_C02_009M","S2001_C02_010E","S2001_C02_010M","S2001_C02_011E","S2001_C02_011M","S2001_C02_012E","S2001_C02_012M","S2001_C02_013E","S2001_C02_013M","S2001_C02_014E","S2001_C02_014M","S2001_C02_015E","S2001_C02_015M","S2001_C02_016E","S2001_C02_016M","S2001_C02_017E","S2001_C02_017M","S2001_C02_018E","S2001_C02_018M","S2001_C02_019E","S2001_C02_019M","S2001_C02_020E","S2001_C02_020M","S2001_C02_021E","S2001_C02_021M","S2001_C03_001E","S2001_C03_001M","S2001_C03_002E","S2001_C03_002M","S2001_C03_003E","S2001_C03_003M","S2001_C03_004E","S2001_C03_004M","S2001_C03_005E","S2001_C03_005M","S2001_C03_006E","S2001_C03_006M","S2001_C03_007E","S2001_C03_007M","S2001_C03_008E","S2001_C03_008M","S2001_C03_009E","S2001_C03_009M","S2001_C03_010E","S2001_C03_010M","S2001_C03_011E","S2001_C03_011M","S2001_C03_012E","S2001_C03_012M","S2001_C03_013E","S2001_C03_013M","S2001_C03_014E","S2001_C03_014M","S2001_C03_015E","S2001_C03_015M","S2001_C03_016E","S2001_C03_016M","S2001_C03_017E","S2001_C03_017M","S2001_C03_018E","S2001_C03_018M","S2001_C03_019E","S2001_C03_019M","S2001_C03_020E","S2001_C03_020M","S2001_C03_021E","S2001_C03_021M"
"id","Geographic Area Name","Total!!Estimate!!Population 16 years and over with earnings","Total!!Margin of Error!!Population 16 years and over with earnings","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Full-time, year-round workers with earnings","Total!!Margin of Error!!Full-time, year-round workers with earnings","Total!!Estimate!!$1 to $9,999 or loss","Total!!Margin of Error!!$1 to $9,999 or loss","Total!!Estimate!!$10,000 to $14,999","Total!!Margin of Error!!$10,000 to $14,999","Total!!Estimate!!$15,000 to $24,999","Total!!Margin of Error!!$15,000 to $24,999","Total!!Estimate!!$25,000 to $34,999","Total!!Margin of Error!!$25,000 to $34,999","Total!!Estimate!!$35,000 to $49,999","Total!!Margin of Error!!$35,000 to $49,999","Total!!Estimate!!$50,000 to $64,999","Total!!Margin of Error!!$50,000 to $64,999","Total!!Estimate!!$65,000 to $74,999","Total!!Margin of Error!!$65,000 to $74,999","Total!!Estimate!!$75,000 to $99,999","Total!!Margin of Error!!$75,000 to $99,999","Total!!Estimate!!$100,000 or more","Total!!Margin of Error!!$100,000 or more","Total!!Estimate!!Median earnings (dollars)","Total!!Margin of Error!!Median earnings (dollars)","Total!!Estimate!!Mean earnings (dollars)","Total!!Margin of Error!!Mean earnings (dollars)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Total!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Total!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Estimate!!Population 16 years and over with earnings","Male!!Margin of Error!!Population 16 years and over with earnings","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Full-time, year-round workers with earnings","Male!!Margin of Error!!Full-time, year-round workers with earnings","Male!!Estimate!!$1 to $9,999 or loss","Male!!Margin of Error!!$1 to $9,999 or loss","Male!!Estimate!!$10,000 to $14,999","Male!!Margin of Error!!$10,000 to $14,999","Male!!Estimate!!$15,000 to $24,999","Male!!Margin of Error!!$15,000 to $24,999","Male!!Estimate!!$25,000 to $34,999","Male!!Margin of Error!!$25,000 to $34,999","Male!!Estimate!!$35,000 to $49,999","Male!!Margin of Error!!$35,000 to $49,999","Male!!Estimate!!$50,000 to $64,999","Male!!Margin of Error!!$50,000 to $64,999","Male!!Estimate!!$65,000 to $74,999","Male!!Margin of Error!!$65,000 to $74,999","Male!!Estimate!!$75,000 to $99,999","Male!!Margin of Error!!$75,000 to $99,999","Male!!Estimate!!$100,000 or more","Male!!Margin of Error!!$100,000 or more","Male!!Estimate!!Median earnings (dollars)","Male!!Margin of Error!!Median earnings (dollars)","Male!!Estimate!!Mean earnings (dollars)","Male!!Margin of Error!!Mean earnings (dollars)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Male!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Male!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Male!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Estimate!!Population 16 years and over with earnings","Female!!Margin of Error!!Population 16 years and over with earnings","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Full-time, year-round workers with earnings","Female!!Margin of Error!!Full-time, year-round workers with earnings","Female!!Estimate!!$1 to $9,999 or loss","Female!!Margin of Error!!$1 to $9,999 or loss","Female!!Estimate!!$10,000 to $14,999","Female!!Margin of Error!!$10,000 to $14,999","Female!!Estimate!!$15,000 to $24,999","Female!!Margin of Error!!$15,000 to $24,999","Female!!Estimate!!$25,000 to $34,999","Female!!Margin of Error!!$25,000 to $34,999","Female!!Estimate!!$35,000 to $49,999","Female!!Margin of Error!!$35,000 to $49,999","Female!!Estimate!!$50,000 to $64,999","Female!!Margin of Error!!$50,000 to $64,999","Female!!Estimate!!$65,000 to $74,999","Female!!Margin of Error!!$65,000 to $74,999","Female!!Estimate!!$75,000 to $99,999","Female!!Margin of Error!!$75,000 to $99,999","Female!!Estimate!!$100,000 or more","Female!!Margin of Error!!$100,000 or more","Female!!Estimate!!Median earnings (dollars)","Female!!Margin of Error!!Median earnings (dollars)","Female!!Estimate!!Mean earnings (dollars)","Female!!Margin of Error!!Mean earnings (dollars)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","Female!!Estimate!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Margin of Error!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","Female!!Estimate!!PERCENT IMPUTED!!Earnings in the past 12 months","Female!!Margin of Error!!PERCENT IMPUTED!!Earnings in the past 12 months"
"1400000US29510110100","Census Tract 1101, St. Louis city, Missouri","1182","304","15599","6569","532","172","8.3","9.3","3.6","4.1","39.3","17.4","25.9","16.6","10.3","7.9","4.7","5.2","4.5","5.7","3.4","5.1","0.0","5.5","(X)","(X)","28773","5610","19637","4332","8803","1112","24167","7805","19385","3300","7303","55737","66000","14681","28.0","(X)","469","202","11612","7181","176","75","0.0","15.6","6.3","10.0","54.0","24.8","15.3","25.5","17.6","21.2","6.8","10.3","0.0","15.6","0.0","15.6","0.0","15.6","21364","11653","26334","6415","16875","13710","-","**","9818","24322","23173","13515","7105","50151","-","**","(X)","(X)","713","191","18706","6402","356","131","12.4","13.8","2.2","3.8","32.0","17.9","31.2","19.9","6.7","6.0","3.7","6.4","6.7","8.9","5.1","7.8","0.0","8.1","25882","6291","29979","8024","19782","5831","8803","1112","26118","6895","18827","2531","-","**","66000","14681","(X)","(X)"
