"Total":"141,354","±4,610",
"Car, truck, or van:":"110,363",
"Drove alone":"99,141",
"Carpooled":"11,222",
"In 2-person carpool":"9,086",
"In 3-person carpool":"1,041",
"In 4-or-more-person carpool":"1,095",
"Public transportation (excluding taxicab)":"15,592",
"Walked":"7,830",
"Taxicab, motorcycle, bicycle, or other means":"2,944",±825,
"Worked at home":"4,625","±1,123",
